ICD_CODE	ICD_NAME	IS_CURRENT_ICD	IP_USAGE	OP_USAGE	AVG_USAGE	IS_NEC	SNOMED_CID	SNOMED_FSN	IS_1-1MAP	CORE_USAGE	IN_CORE
427.31	Atrial fibrillation	1	1.89778	3.20644	2.55211	0	49436004	Atrial fibrillation (disorder)	1	0.499	1
599.0	Urinary tract infection, site not specified	1	2.13933	1.6533	1.896315	0	68566005	Urinary tract infectious disease (disorder)	1	0.5362	1
486	Pneumonia, organism unspecified	1	3.4176	0.30077	1.859185	0	233604007	Pneumonia (disorder)	1	0.4722	1
585.6	End stage renal disease	1	0.04875	3.23327	1.64101	0	46177005	End-stage renal disease (disorder)	1	0.0057	1
414.01	Coronary atherosclerosis of native coronary artery	1	2.58624	0.68026	1.63325	0	53741008	Coronary arteriosclerosis (disorder)	1	0.8621	1
401.9	Unspecified essential hypertension	1	0.21617	2.73234	1.474255	0	59621000	Essential hypertension (disorder)	1	0.9291	1
428.0	Congestive heart failure, unspecified	1	2.01765	0.82211	1.41988	0	42343007	Congestive heart failure (disorder)	1	0.4631	1
250.00	Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled	1	0.02583	2.73307	1.37945	0	313436004	Type II diabetes mellitus without complication (disorder)	1	0.0937	1
491.21	Obstructive chronic bronchitis with (acute) exacerbation	1	2.41931	0.13943	1.27937	0	195951007	Acute exacerbation of chronic obstructive airways disease (disorder)	1	0.0521	1
038.9	Unspecified septicemia	1	2.46447	0.02169	1.24308	0	91302008	Sepsis (disorder)	1	0.0872	1
285.9	Anemia, unspecified	1	0.25523	1.58376	0.919495	0	271737000	Anemia (disorder)	1	0.5822	1
584.9	Acute kidney failure, unspecified	1	1.69018	0.06297	0.876575	0	14669001	Acute renal failure syndrome (disorder)	1	0.0541	1
V58.61	Long-term (current) use of anticoagulants	1	4E-05	1.71763	0.858835	0	711150003	Long-term current use of anticoagulant (situation)	1	NULL	0
780.2	Syncope and collapse	1	1.0951	0.33795	0.716525	0	309585006	Syncope and collapse (disorder)	1	0.0025	1
786.50	Chest pain, unspecified	1	0.49112	0.82387	0.657495	0	29857009	Chest pain (finding)	1	0.4714	1
401.1	Benign essential hypertension	1	0.00147	1.21016	0.605815	0	1201005	Benign essential hypertension (disorder)	1	0.1219	1
